plaintext, ciphertext
QQHMYIARECAMCGERQPZMVLMGDLIGFKSOMWBOHNSJQQFYTMLBALPQQZZ, BBSXJTLCPNLXNRPCBAKXGWXROWTRQVDZXHMZSYDUBBQJEXWMLWABBKK
RFUNLLDLXYUOJJCXTWWUIGSDEFKWEOORRGVNJUWJBR, RFUNLLDLXYUOJJCXTWWUIGSDEFKWEOORRGVNJUWJBR
UNPSVVZJXVXIWIALTDCGNQPYSUPDBTIXZSHKWANANRDCGFL, RKMPSSWGUSUFTFXIQAZDKNMVPRMAYQFUWPEHTXKXKOAZDCI
ZHXOYD, VDTKUZ
QZMTRGKLRAFZNMFOSWELMWIGWCBUDTBZXSSMIWLLAVKTRAJMLZSGYMMITI, OXKRPEIJPYDXLKDMQUCJKUGEUAZSBRZXVQQKGUJJYTIRPYHKJXQEWKKGRG
OMDNLWXCHISIYTRSBKPXTPHFUJSHKTOQOGJAEWXONIYIKSMQYWYHPDXXDNTFXCCWEPGDSICDKWKXIJHTCMIBJHSIVXWOQ, AYPZXIJOTUEUKFDENWBJFBTRGVETWFACASVMQIJAZUKUWEYCKIKTBPJJPZFRJOOIQBSPEUOPWIWJUVTFOYUNVTEUHJIAC
SYBJSXPXSPODGESYTSDWNQRDCDKMREWKEZPGQZ, EKNVEJBJEBAPSQEKFEPIZCDPOPWYDQIWQLBSCL
WGIWRGJNLGTRDHEPCCAYFDFUIYDIUVFUGBOWARPINXJTJWKZNCSQ, LVXLGVYCAVIGSWTERRPNUSUJXNSXJKUJVQDLPGEXCMYIYLZOCRHF
MJDUVLLQCRGKUHIWWHZTVGYLATGMKEWASQBBAFGXXQJGY, SPJABRRWIXMQANOCCNFZBMERGZMSQKCGYWHHGLMDDWPME
CMHUGZHACHCADQOHGCZSWPYUHNXNSNFXSKLLYSOANHXVCDUJZTXBRJGCJQYITBPNMWGEOEXKEVKKAKQXUKNSEACBQXDWGVWIIDOQITTBOIXHJX, PZUHTMUNPUPNQDBUTPMFJCLHUAKAFASKFXYYLFBNAUKIPQHWMGKOEWTPWDLVGOCAZJTRBRKXRIXXNXDKHXAFRNPODKQJTIJVVQBDVGGOBVKUWK
ZSJOAYITTTJMAUTSPEIVRKWPKZMAXQUTEESOLEGMGBXRVAQLJMDPJFXYRSGRRMOLQZMBUGOGOPHXAHVFEOUZIIOHUUYDHDNKCEGQIKRODMZHFNBWDBTMGNRDOYXCSY, UNEJVTDOOOEHVPONKZDQMFRKFUHVSLPOZZNJGZBHBWSMQVLGEHYKEASTMNBMMHJGLUHWPBJBJKCSVCQAZJPUDDJCPPTYCYIFXZBLDFMJYHUCAIWRYWOHBIMYJTSXNT
XOZGZMHHMDNHXSQZYXZWQJETBGINKAXFHMYICLCWSJBOLEGTQNFILRZEILPLEABPUFHTANRPZYEAUWYQBVZH, QHSZSFAAFWGAQLJSRQSPJCXMUZBGDTQYAFRBVEVPLCUHEXZMJGYBEKSXBEIEXTUINYAMTGKISRXTNPRJUOSA
KRXAREZMSCMNBUJIHQRRPRXWJDJQOXQUHYHVZHQWJMXLZEC, AHNQHUPCISCDRKZYXGHHFHNMZTZGENGKXOXLPXGMZCNBPUS
DWHDOCPMPCYFSJHIEJXDHQYAXMTGGIOWSBEGHFGLDEYCWIDOGNTDRMZEJVHINPBLSROUFW, NGRNYMZWZMIPCTRSOTHNRAIKHWDQQSYGCLOQRPQVNOIMGSNYQXDNBWJOTFRSXZLVCBYEPG
NRGNKCIIALENDTQJYYDYIJKXOQJNQRKOBZGLWSEYUGHGHARUCNIDZKLRANK, UYNURJPPHSLUKAXQFFKFPQREVXQUXYRVIGNSDZLFBNONOHYBJUPKGRSYHUR
DUDBTMWVOESHDOQSNWVLFEMVXZBTKRFSUERFKBIHHLXPVWDKOZUHUYNQDEFVUFIXCOZNABBRCYRAWWVJRWFRV, WNWUMFPOHXLAWHJLGPOEYXFOQSUMDKYLNXKYDUBAAEQIOPWDHSNANRGJWXYONYBQVHSGTUUKVRKTPPOCKPYKO
WCHLFWKDAFRRSUKZEMSBKCYLOKNZSWIGFIZYIGPKYWCUGEPPWSEPPIBGSXELHSCAKLDSLY, YEJNHYMFCHTTUWMBGOUDMEANQMPBUYKIHKBAKIRMAYEWIGRRYUGRRKDIUZGNJUECMNFUNA
XYYVKZBPQNABNWJNPCFNEGWXXBSYGBEDPPTXENGBJQSCKUQBAHYHTGFWJHS, ZAAXMBDRSPCDPYLPREHPGIYZZDUAIDGFRRVZGPIDLSUEMWSDCJAJVIHYLJU
FEWB, BASX
HEZFNTUJPMQ, ROJPXDETZWA
HICBVARCIPOODIRMMXBYZWQWOYLBOANTGLUK, IJDCWBSDJQPPEJSNNYCZAXRXPZMCPBOUHMVL
FMOJCZHQZUHJHQWRNDFJLZHPCVNQFJIXJINFQEDSVVBGHWLGO, GNPKDAIRAVIKIRXSOEGKMAIQDWORGKJYKJOGRFETWWCHIXMHP
JGSTENJUXCPQFFOYACFSBKLYF, EBNOZIEPSXKLAAJTVXANWFGTA
DGIMZMRKLPDLIKRENFIBXOHPNVYBFVHMRYHXNAKJHEODVYFTAAPTWRAS, TWYCPCHABFTBYAHUDVYRNEXFDLORVLXCHOXNDQAZXUETLOVJQQFJMHQI
LUMKTNNXHYDASOFJWRRUNKIJXPAGPQKFXRIZN, UDVTCWWGQHMJBXOSFAADWTRSGYJPYZTOGARIW
NEDNTHQBOTMQZOTYRVTOZKKCJSBRXLOKOIAFLSYHVIOQBFSLRZUPIADSJGWJAEHYWMIJWXLZAWAPJAQTU, EVUEKYHSFKDHQFKPIMKFQBBTAJSIOCFBFZRWCJPYMZFHSWJCIQLGZRUJAXNARVYPNDZANOCQRNRGARHKL
DQPTVDESJV, YLKOQYZNEQ
UWKEXPVOQBNVITBSWXHUASCXQAAINANSJPRKJTFDNVCLYWMFMSHKECGOTRAHHBWTKZGOBYFALHLSU, ZBPJCUATVGSANYGXBCMZFXHCVFFNSFSXOUWPOYKISAHQDBRKRXMPJHLTYWFMMGBYPELTGDKFQMQXZ
TUGWCRHNAGOFJBIIOJXYEACQUXUGAICXXDRGHQZEQUSMOYDHSFO, MNZPVKAGTZHYCUBBHCQRXTVJNQNZTBVQQWKZAJSXJNLFHRWALYH
QEMHBEKKPVHIOWBBXGZWHXYFCVHMXVXRFIPIDBSIGBEFRSPLJVWRFJDJRZHSHZBVOHIOBSJPLGTFSRIBWZZVMFGOERLVERABAETFVRAUCOMHZRRVNPM, QEMHBEKKPVHIOWBBXGZWHXYFCVHMXVXRFIPIDBSIGBEFRSPLJVWRFJDJRZHSHZBVOHIOBSJPLGTFSRIBWZZVMFGOERLVERABAETFVRAUCOMHZRRVNPM
ZUFUOMZBNIGQGYSFBPKRPJJLPFLKUUUNBZDCPNGZDRRVFFFPDUQTBUTUWQSAUKFCRMFLDSOHDUMGMEVUNDQMLFUMQZNECRCOVLCJOEKJIIVVGGRB, XSDSMKXZLGEOEWQDZNIPNHHJNDJISSSLZXBANLEXBPPTDDDNBSORZSRSUOQYSIDAPKDJBQMFBSKEKCTSLBOKJDSKOXLCAPAMTJAHMCIHGGTTEEPZ
CZQREHGNCRLEDEQNPSNRLGBAQLYJKODAPZRYXGABXPVHJXOPMZDQKHCQXKCXFDVTPVOPOAMFIEJRPIV, DARSFIHODSMFEFROQTOSMHCBRMZKLPEBQASZYHBCYQWIKYPQNAERLIDRYLDYGEWUQWPQPBNGJFKSQJW
WQLQV, QKFKP
CLEAQVIUPFPUUEZJBKLHZNQDXNRKEXWTBFXZH, BKDZPUHTOEOTTDYIAJKGYMPCWMQJDWVSAEWYG
VZQIQXRVJCMDAMVUBWDHTWAAHXYPCMXPQGZ, SWNFNUOSGZJAXJSRYTAEQTXXEUVMZJUMNDW
PIESGWTKQBILNUNTXUHQFOMIVUAZTYOCQUQKSMZFYQKY, QJFTHXULRCJMOVOUYVIRGPNJWVBAUZPDRVRLTNAGZRLZ
LFYGNMGOXIZMDLCLSIPSWUIGRDBICXPZARHNZMAMJQVJWKOETJBPJDFTIJ, PJCKRQKSBMDQHPGPWMTWAYMKVHFMGBTDEVLRDQEQNUZNAOSIXNFTNHJXMN
XRIENCLLCWKLHFYPDDQIRURMWEWRZYBAWLCLCMWNWZCPVXDMJTWOHNBHNADLPZJCXVBJBBYYYKUUCLFLEY, BVMIRGPPGAOPLJCTHHUMVYVQAIAVDCFEAPGPGQARADGTZBHQNXASLRFLREHPTDNGBZFNFFCCCOYYGPJPIC
NWULAQDPDLYHGVCZAHNJOKKVRGDWGRSNKKNZSOKHWKMI, QZXODTGSGOBKJYFCDKQMRNNYUJGZJUVQNNQCVRNKZNPL
HYAKVBJRPZQLSXQFCSUAXRRHCPVAHZUDQMJQSOIYQWKCMQRCRVVNQL, EVXHSYGOMWNIPUNCZPRXUOOEZMSXEWRANJGNPLFVNTHZJNOZOSSKNI
TTLLXLCXKPCPVNNTXKQKBUNVVTBZYPODAHDLCGNUGPKMISTBVRKSZRICZDLFOCCYGPIOPUXCYZVNSKUJLVARVMOATRIDLLGVPTMFLYWLQSLAPR, KKCCOCTOBGTGMEEKOBHBSLEMMKSQPGFURYUCTXELXGBDZJKSMIBJQIZTQUCWFTTPXGZFGLOTPQMEJBLACMRIMDFRKIZUCCXMGKDWCPNCHJCRGI
HSWJBAWKMRXCCZRICPFSHDXUJUFCSFVXSECAYKTYTN, DOSFXWSGINTYYVNEYLBODZTQFQBYOBRTOAYWUGPUPJ
LXISQHGMTBAWEWAWPRUTKNMCUQQMXIVCXSIYMYSJIQBGBFZIAQPHFAYFDCJUGMHXEWUEQGMFVSQAFTMJOFHNWJYNBODYDQQAWLWESGHGHDSIKHSHIZPTWDPSTJTG, OALVTKJPWEDZHZDZSUXWNQPFXTTPALYFAVLBPBVMLTEJEICLDTSKIDBIGFMXJPKAHZXHTJPIYVTDIWPMRIKQZMBQERGBGTTDZOZHVJKJKGVLNKVKLCSWZGSVWMWJ
IGDYNGYFQVMVFWDIHCHHVRZGAOYECGCDOFGBKIPSLVURCTMGLVZJIUJAOBSRVZCHHUVZVTT, DBYTIBTALQHQARYDCXCCQMUBVJTZXBXYJABWFDKNGQPMXOHBGQUEDPEVJWNMQUXCCPQUQOO
FFLKBQUQRDKPZJRNLGDHUJDPHADWGPNVRTZILGWHNFTSRLURMHDNSGROTJQPO, PPVULAEABNUZJTBXVQNRETNZRKNGQZXFBDJSVQGRXPDCBVEBWRNXCQBYDTAZY
UCUZDVRRGBXNZACKWDAOXFMUNAORQZCVEYPNICXOP, SASXBTPPEZVLXYAIUBYMVDKSLYMPOXATCWNLGAVMN
GDCZLHNEJQK, NKJGSOULQXR
MPCFNNRIQMYIHLXJKOOFOGZTWAIJ, HKXAIIMDLHTDCGSEFJJAJBUORVDE
DDICMUUUULPBQPQFIBBEGYXHMHBZBJRXRBDDTSRJRVZLKESZHEV, YYDXHPPPPGKWLKLADWWZBTSCHCWUWEMSMWYYONMEMQUGFZNUCZQ
KJUZQVWUYLLZUFQ, EDOTKPQOSFFTOZK
OAIMGGQBFZWEBXDGBWNQDDNIESFBUQJOTKVEPLVWKCJFRYICKTOMQIDWDJEHFPJILZDJBAHWSGSKOXEIIUTGFYDNVGKUVI, XJRVPPZKOIFNKGMPKFWZMMWRNBOKDZSXCTENYUEFTLSOAHRLTCXVZRMFMSNQOYSRUIMSKJQFBPBTXGNRRDCPOHMWEPTDER
FYTMGXKMMVSLJBBXZQRVLZAADKZWUNZKCQUNLXBLPOATAAJLYIGVXUSDQBEHATFGWBBTQPIMCKWRWCAYJMVSLRAZERLQYGMMHM, QJEXRIVXXGDWUMMIKBCGWKLLOVKHFYKVNBFYWIMWAZLELLUWJTRGIFDOBMPSLEQRHMMEBATXNVHCHNLJUXGDWCLKPCWBJRXXSX
KIYGUJTMIDSEMTPOJPJLPKBSSHBMGFNHSXEVGXUHKHYSLTHQLUZDMZMXPJVAC, SQGOCRBUQLAMUBXWRXRTXSJAAPJUONVPAFMDOFCPSPGATBPYTCHLUHUFXRDIK
IWNIVXDMAWETKCSLPCBJNGHXBPBKSVU, PDUPCEKTHDLARJZSWJIQUNOEIWIRZCB
YRYDYRJMHAIGCXFKAVJLJENPBRFMVVUJXNOENCXSAANJMYYKVKNUKFTVRKBP, ATAFATLOJCKIEZHMCXLNLGPRDTHOXXWLZPQGPEZUCCPLOAAMXMPWMHVXTMDR
TYPFPANLFICXIKAFSASOIWPNFYVSOQSUQCMXDI, GLCSCNAYSVPKVXNSFNFBVJCASLIFBDFHDPZKQV
BNHRQSQLKIPTYYUVUARLDKCQYUOTCSCROJAPXXYSPZACHZMRIZOSWJBNE, TFZJIKIDCAHLQQMNMSJDVCUIQMGLUKUJGBSHPPQKHRSUZREJARGKOBTFW
JKZRXEBPIFDRYSSKMSRQKCVFLOTJWTVTTAZPLPBLTFQBPATGMLSSWPILZQNLIV, ABQIOVSGZWUIPJJBDJIHBTMWCFKANKMKKRQGCGSCKWHSGRKXDCJJNGZCQHECZM
VKZVCFJAI, UJYUBEIZH
RLMXTQSPSHZRIPBKOAARQPYRJPEFNCTQAAWPHDKLBFOSRNCWINOXUOSCYHKQNEVIMEHZE, PJKVROQNQFXPGNZIMYYPONWPHNCDLAROYYUNFBIJZDMQPLAUGLMVSMQAWFIOLCTGKCFXC
DFWJWQAVVGFFVRDQPVOEWFWMMYLJDNSPMBTHSABIEDZYZFODEPWPGVTOOEQCVBUXHYZCTWFKLBTQSUPLKWVUDFHQXZSDGCOFUKCUNCEOROSNBYOBSJ, KMDQDXHCCNMMCYKXWCVLDMDTTFSQKUZWTIAOZHIPLKGFGMVKLWDWNCAVVLXJCIBEOFGJADMRSIAXZBWSRDCBKMOXEGZKNJVMBRJBUJLVYVZUIFVIZQ
ADROGDPHPKWBOYWHLVABCNRQX, HKYVNKWOWRDIVFDOSCHIJUYXE
UFPCQPOVBAZRLNGWTODAKXRUQERUIZZFRLJGEASDLYYJDIDOTDYFNPEAGQWFXHPQQIRSAFCJLFJOBMVVPVGJBUSGGTCZ, BMWJXWVCIHGYSUNDAVKHREYBXLYBPGGMYSQNLHZKSFFQKPKVAKFMUWLHNXDMEOWXXPYZHMJQSMQVITCCWCNQIBZNNAJG
VMAXXEZ, KBPMMTO
ZVFSSQCNOTJUKIPKMCCFA, JFPCCAMXYDTEUSZUWMMPK
DZHXUZAYE, ZVDTQVWUA
QBSTFMU, VGXYKRZ
IIONEIMTQGCTIPGROHGRDYAVEMXFSJRKNQNDFGCHYFAAHKDFKIE, ZZFEVZDKHXTKZGXIFYXIUPRMVDOWJAIBEHEUWXTYPWRRYBUWBZV
NXARSFSSVJDTWVJQAFPQKMHGYZUBGPQZBZDHZFENUWFBLHOMYVODHKGQUNGLJJNAJWMBNFGRPPIVZRQWSSAHUNYPFNFOBEPZGRSWUR, KUXOPCPPSGAQTSGNXCMNHJEDVWRYDMNWYWAEWCBKRTCYIELJVSLAEHDNRKDIGGKXGTJYKCDOMMFSWONTPPXERKVMCKCLYBMWDOPTRO
HJTNHQXQWUROOMVFYHGXKCPNCJJIWRFXWNFHNWPWJBMGLUMBQUVQTBJDJPABSWIRPBFXWALANAINKOLBMNBRCJRBATAVQABQAE, PRBVPYFYECZWWUDNGPOFSKXVKRRQEZNFEVNPVEXERJUOTCUJYCDYBJRLRXIJAEQZXJNFEITIVIQVSWTJUVJZKRZJIBIDYIJYIM
IBTDRQXGSBBPLHITHMZDKEZOWGTKUWFBVELPFFJKWNDTJTZATGJUMCUAWFFJZSNWROTUIDUMTLSIVXBTNSP, CVNXLKRAMVVJFBCNBGTXEYTIQANEOQZVPYFJZZDEQHXNDNTUNADOGWOUQZZDTMHQLINOCXOGNFMCPRVNHMJ
QSGMARBVAXVJWQTCMPOQXCNMJIKCLGVDQIVKJKGKKPLJEZTEPOSBKGY, IKYESJTNSPNBOILUEHGIPUFEBACUDYNVIANCBCYCCHDBWRLWHGKTCYQ
JJEFSUQQEGYKLLFQWLSBPXACEQYGGZSSYLRKTINIOMKFJYIATKSVFKWTWRWFDDPTJJDQNCSNOVKFGVBIMAVLCAJOBHHZIHZCAAAFOSLQNBDWYXK, WWRSFHDDRTLXYYSDJYFOCKNPRDLTTMFFLYEXGVAVBZXSWLVNGXFISXJGJEJSQQCGWWQDAPFABIXSTIOVZNIYPNWBOUUMVUMPNNNSBFYDAOQJLKX
GDE, DAB
PLFINPGWEQHUYBYRKYEKWQPTHCJOSZDFLMMVMXRPPRRLDNBZTEOCAJSPEGXVIQJHQKCWMVMJCHOKLCTMBEAEHVSTXPCYCWMWVPMG, IEYBGIZPXJANRURKDRXDPJIMAVCHLSWYEFFOFQKIIKKEWGUSMXHVTCLIXZQOBJCAJDVPFOFCVAHDEVMFUXTXAOLMQIVRVPFPOIFZ
YIOINEHSPUHTDOGPTYDFMOPWAACOMIDTSKTZPTWTQMVQBLTBFCIDTYUDWQCOYGRDCHSKCSNBCHFTYHBZHTMQHYAIEGMCISHRCXATDRMHZTNSIDXSPMMHF, UEKEJADOLQDPZKCLPUZBIKLSWWYKIEZPOGPVLPSPMIRMXHPXBYEZPUQZSMYKUCNZYDOGYOJXYDBPUDXVDPIMDUWEACIYEODNYTWPZNIDVPJOEZTOLIIDB
LKAPOKFBOQJDWGBWKEORIRKBIOODZAUUXNIUGNWXGVOXBNJYYCRMYLDGXB, WVLAZVQMZBUOHRMHVPZCTCVMTZZOKLFFIYTFRYHIRGZIMYUJJNCXJWORIM
ILDZLUM, JMEAMVN
VXIEVFDYTGUNTNUOKDTCOGWMIVP, WYJFWGEZUHVOUOVPLEUDPHXNJWQ
TRRVPAPGRKFYBTSDRFWQRUQEACDXHEXMLRQIZYQDJTIMQEIKMNPEBXBRXUDB, RPPTNYNEPIDWZRQBPDUOPSOCYABVFCVKJPOGXWOBHRGKOCGIKLNCZVZPVSBZ
KRZXASOZXMAHRMSGUHNHBPLFEAPBIIMCWWKYKFNMQSSUZDTHKFVSVFEKTYUTLFKLWHQCORIGXRJBPPJHYXWMKFJOPDTUHJPSPODS, XEMKNFBMKZNUEZFTHUAUOCYSRNCOVVZPJJXLXSAZDFFHMQGUXSIFISRXGLHGYSXYJUDPBEVTKEWOCCWULKJZXSWBCQGHUWCFCBQF
ZINELCMCCGAXHPUETWWDEWSAOPSTCDVNRZCWCZGVNTKO, AJOFMDNDDHBYIQVFUXXEFXTBPQTUDEWOSADXDAHWOULP
HDUTMSGTEOZOODTYCKCRJCBHPPCLXGIHXGYOOMBJWRBNGUN, WSJIBHVITDODDSINRZRGYRQWEERAMVXWMVNDDBQYLGQCVJC
HYCJIWDTQCFFSXKCAJUYDGWUAOZBIJQUHWTCWIQCXKMGWOHSXEEURAWJCD, LCGNMAHXUGJJWBOGENYCHKAYESDFMNUYLAXGAMUGBOQKASLWBIIYVEANGH
HJVZWYUNNITOIWABEUKPDJHCJSAPXSEYOZTWSDYZEHTFRTWZUBXVVXUDSWPNAMJSGXZUVMBTL, PRDHEGCVVQBWQEIJMCSXLRPKRAIXFAMGWHBEALGHMPBNZBEHCJFDDFCLAEXVIURAOFHCDUJBT
HOOFHTINJKMFVEBKCTQTVMIRVXONCKGILRXVSKUMIXHXLWVHVGEYBIJESL, MTTKMYNSOPRKAJGPHYVYARNWACTSHPLNQWCAXPZRNCMCQBAMALJDGNOJXQ
YYOMZTQZZKRXTJDULYGLOVNJOBICENCYKYNBLIEEDRKUBFUAIVBENHVQEXWNWNDMOKCHNTYRSQDOE, UUKIVPMVVGNTPFZQHUCHKRJFKXEYAJYUGUJXHEAAZNGQXBQWERXAJDRMATSJSJZIKGYDJPUNOMZKA
RDOACNHDEIIUDCMQFIJULPMRSTAIUHVJVRDLTBIPSPOTFIMGLZSBRZGDHMHD, ZLWIKVPLMQQCLKUYNQRCTXUZABIQCPDRDZLTBJQXAXWBNQUOTHAJZHOLPUPL
RQWPCTYBXMQTRIFITIXA, CBHANEJMIXBECTQTETIL
WCURQMOZUCKIXOVCWOGJYOAGTDTYRIFJJXMFJGNPHHYCLDVDCNYHBFHWBXSSGHWNCWTSUVYTBTDKBXYRLVCCRDNRPLTRDCZMBAENDKXYBNSIGL, FLDAZVXIDLTRGXELFXPSHXJPCMCHAROSSGVOSPWYQQHLUMEMLWHQKOQFKGBBPQFWLFCBDEHCKCMTKGHAUELLAMWAYUCAMLIVKJNWMTGHKWBRPU
AEQDHWCLCUKHZSKZKKBITKRKMHSIHXMSELJTWBLGVQSQICAYKLEMJMQQMALZEMUBHUKUPMYEPIVECMNDKQTSKIFTHDSNDOJJQGYWMYAMWXXXRRQUYH, UYKXBQWFWOEBTMETEEVCNELEGBMCBRGMYFDNQVFAPKMKCWUSEFYGDGKKGUFTYGOVBOEOJGSYJCPYWGHXEKNMECZNBXMHXIDDKASQGSUGQRRRLLKOSB
IVKKUMHFAWSHRAOVGQCCSOWSCMESKROYLMTHXBFWDXQJFMICVWUKNUGNMCBAVVGTMWOCGDIRTIREJIGJRHIPVHPTIUNPMHJYG, LYNNXPKIDZVKUDRYJTFFVRZVFPHVNURBOPWKAEIZGATMIPLFYZXNQXJQPFEDYYJWPZRFJGLUWLUHMLJMUKLSYKSWLXQSPKMBJ
OYMGLUEMJWNQVNTBLEGCIQCLGZDDEQFHDDTKIKSYTDYIOJRWKRMDUHJOUWCDILNCFMVPIVHUFARFCEO, QAOINWGOLYPSXPVDNGIEKSENIBFFGSHJFFVMKMUAVFAKQLTYMTOFWJLQWYEFKNPEHOXRKXJWHCTHEGQ
HGMOYAGFCKIEPLFICIUATOOJAENFGSPUQIXCFZSVWIBHBGTJFLNKNACTVAVKFVIDAKGVDGBHVWZDLJNOVY, UTZBLNTSPXVRCYSVPVHNGBBWNRASTFCHDVKPSMFIJVOUOTGWSYAXANPGINIXSIVQNXTIQTOUIJMQYWABIL
ZMNXWWEQAYXLFBLGPRBSUSFNXGOKLRCUZZKPGPB, WJKUTTBNXVUICYIDMOYPRPCKUDLHIOZRWWHMDMY
JVDDGMXAVBQLEINFYBFHALPUYKBJLJFWDYXFPNVZZQNKSGPXMLCJLHLNHFUPZSKAASWKMTBHZRGWASNPWPGQRDZUULBOHOQXGEFRHZYIRHUOKFAUAYGKECZBBVMGP, SEMMPVGJEKZUNRWOHKOQJUYDHTKSUSOFMHGOYWEIIZWTBPYGVULSUQUWQODYIBTJJBFTVCKQIAPFJBWYFYPZAMIDDUKXQXZGPNOAQIHRAQDXTOJDJHPTNLIKKEVPY
KKYUGCRSXGUGLSDWYGISC, DDRNZVKLQZNZELWPRZBLV
ICHDUBUOHNAFQLGGVXINEMNJEXVKWNRUYTTLSDRPPTCHCKNXZCMDRSABEHGXXTXXAXIEINCTPNZVMNWFLFLQNMWAZYPNHNGBAQMDBWBJJJJLGKKKKLLI, WQVRIPICVBOTEZUUJLWBSABXSLJYKBFIMHHZGRFDDHQVQYBLNQARFGOPSVULLHLLOLWSWBQHDBNJABKTZTZEBAKONMDBVBUPOEARPKPXXXXZUYYYYZZW
FCRZAPYYJESRWHULBOIETIDRKPXSMAUYWFQJYDNRWCXOPCOPTY, VSHPQFOOZUIHMXKBREYUJYTHAFNICQKOMVGZOTDHMSNEFSEFJO
EWPSPUVQJBGNYFHZUARCZXKIPXDHKSKAADNZKHSKGUGRP, VNGJGLMHASXEPWYQLRITQOBZGOUYBJBRRUEQBYJBXLXIG
DF, QS
ZFOPKXVLWOGRQU, YENOJWUKVNFQPT
JVKBZVTOIOMENOTYQCKODMRHJJLGRBOQDAMCQPRMXEOZQUOTBURKOLNZYLALUJJRCMCOKHEBFINZXLZBXGPE, VHWNLHFAUAYQZAFKCOWAPYDTVVXSDNACPMYOCBDYJQALCGAFNGDWAXZLKXMXGVVDOYOAWTQNRUZLJXLNJSBQ
RBADIWWXXCU, UEDGLZZAAFX
NQARTOIMFCZKQGGCFVZASMNDIONQDMMOZAFOSICUZRHUASUXHCRFKOWNRRYYRBCBWIVDEILWLIWZVMHEYJDZGXFIKEZEMKTITKANSCAARLYH, ILVMOJDHAXUFLBBXAQUVNHIYDJILYHHJUVAJNDXPUMCPVNPSCXMAFJRIMMTTMWXWRDQYZDGRGDRUQHCZTEYUBSADFZUZHFODOFVINXVVMGTC
UCYBDHFGPVTYZWLUN, LTPSUYWXGMKPQNCLE
BCHGKEWXKWSHRQNPMCQXMBBCCCOAMRKYIWZBRDEEOJUPXSVXFCTQQYYICOPKCUXCKURSGBESYTEDRSPFWWCBTORNFKXZBLGOBIIIELIYIGH, LMRQUOGHUGCRBAXZWMAHWLLMMMYKWBUISGJLBNOOYTEZHCFHPMDAAIISMYZUMEHMUEBCQLOCIDONBCZPGGMLDYBXPUHJLVQYLSSSOVSISQR
HSBVYEQEJGHMIRKAYAYXIOMVTDOXY, FQZTWCOCHEFKGPIYWYWVGMKTRBMVW
OKANPZVRBTTLQCNTVUFHQUUMGBKUTCZLWYPLCFZLVSOOTOONLNOVZXRMMBBCVVSTJKBHUECXWUKWZJIURHRRCBJCFMSVEFPSEXFEKKDMWDDFKHEQCQKWCRBXTTCBAQC, BXNACMIEOGGYDPAGIHSUDHHZTOXHGPMYJLCYPSMYIFBBGBBAYABIMKEZZOOPIIFGWXOUHRPKJHXJMWVHEUEEPOWPSZFIRSCFRKSRXXQZJQQSXURDPDXJPEOKGGPONDP
BIXJTYBFWQYYTPWFFRPQVOEPXIOWBJGGQKHZJPFRVRCRTWXNCDWBGT, ZGVHRWZDUOWWRNUDDPNOTMCNVGMUZHEEOIFXHNDPTPAPRUVLABUZER
UXLVVETOSICHFOPIYFMIWOECCNJEJAE, XAOYYHWRVLFKIRSLBIPLZRHFFQMHMDH
EDFQBHBPRFZHXMNTPYKD, LKMXIOIWYMGOETUAWFRK
CHC, UZU
PPIYFRQXTECFHYEMIIWLCJXLVSXPDWTVXIX, EEXNUGFMITRUWNTBXXLARYMAKHMESLIKMXM
AARCMJKWKUELQBESZEEBZDDIIXPMMNPAHWZVEALEVHHLAANETHZVLMXYKJZXLULPWBGPBFUCVMQYDAPU, QQHSCZAMAKUBGRUIPUURPTTYYNFCCDFQXMPLUQBULXXBQQDUJXPLBCNOAZPNBKBFMRWFRVKSLCGOTQFK
KZIBGSQZRHVCTMRIOEFDXWRPHPFAIQARNXZSBLCTULQKTOB, WLUNSECLDTHOFYDUAQRPJIDBTBRMUCMDZJLENXOFGXCWFAN
AJDUZKNYYHHEXMCAWKX, ZICTYJMXXGGDWLBZVJW
GYUGYCLBXSXPHQSLLTBZZNLBCMDRERYZXFWBBEJPPHXWHYZUBMLZKMKKRLIEODRMNBRQIFBYWRSKKTUCBVQAUALMICJESICMYBDIPZIILZUSFMSMLUFK, IAWIAENDZUZRJSUNNVDBBPNDEOFTGTABZHYDDGLRRJZYJABWDONBMOMMTNKGQFTOPDTSKHDAYTUMMVWEDXSCWCNOKELGUKEOADFKRBKKNBWUHOUONWHM
UZIDUOSBDQSEVQX, OTCXOIMVXKMYPKR
HARXDDHITYNXLNBI, ZSJPVVZALQFPDFTA
XPKGKKEGBFWFSDOFGCPVCSFJEQWXVJQKUPEAJNHFUAYIJXIKGJPSRKVREXZPXUSIMDKEUC, EWRNRRLNIMDMZKVMNJWCJZMQLXDECQXRBWLHQUOMBHFPQEPRNQWZYRCYLEGWEBZPTKRLBJ
FLLRJVUHVVRKMSFIEGKFFWVRAOADUVLNUTBKJFZMZZJJJXEQPCIHHNMEGPOXRJVGPNFZYNRSAHVNHYWOVQJVQGBLYIEZZPDOLFZAEEIZWLGAAQRIXPUOT, VBBHZLKXLLHACIVYUWAVVMLHQEQTKLBDKJRAZVPCPPZZZNUGFSYXXDCUWFENHZLWFDVPODHIQXLDXOMELGZLGWRBOYUPPFTEBVPQUUYPMBWQQGHYNFKEJ
